id_site,type,type,area,bedrooms,suits,parkingSpots,floor,complexFee,propertyTax,price,amenities,currentPhase,lat,lng,city,number,postalCode,streetName,streetType,unitNumber,neighborhood
12l6phz,apartment,apartment,74,2,1,2,7,900,433.12,,"['gym', 'gourmet', 'pool', 'heated_pool', 'party_room', 'green_area']",ready_to_move,-23.60212050,-46.67743770,São Paulo,291,04548-001,Cardoso de Melo,Avenida Doutor,74,Vila Olímpia
12lltvy,apartment,apartment,364,5,4,3,8,4600,3625.17,3500000,"['pool', 'party_room', 'play_game']",ready_to_move,-23.57143770,-46.66235030,São Paulo,75,01425-080,Ouro Branco,Rua,81,Jardim Paulista
12okt11,apartment,apartment,154,3,1,1,3,1606,311.1,,"['playground', 'green_area']",ready_to_move,-23.56391760,-46.66450990,São Paulo,758,01411-000,Padre João Manuel,Rua,33,Jardim América
12psuwc,apartment,apartment,93,2,1,1,4,560,245.19,430000,"['gym', 'kids', 'gourmet', 'pool', 'playground', 'sports_court', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.48705420,-46.73921180,São Paulo,885,05133-100,São Francisco de Assis,Rua,4A,São Domingos
12raphl,apartment,apartment,67,1,1,1,10,850,333.75,1100000,"['gym', 'kids', 'gourmet', 'pool', 'playground', 'sports_court', 'party_room', 'play_game', 'green_area']",set_up,-23.58331130,-46.62972800,São Paulo,265,04111-080,Dona Brígida,Rua,101,Aclimação
12s5nwf,apartment,apartment,90,2,1,1,5,900,86.83,,"['party_room', 'green_area', 'condoPowerGenerator']",set_up,-23.59887800,-46.66303780,São Paulo,183,04522-030,Gaivota,Rua,52,Moema Pássaros
12t36hk,apartment,apartment,167,3,1,2,11,1801,603.84,,"['playground', 'party_room']",ready_to_move,-23.54907040,-46.65958450,São Paulo,269,01243-020,Pará,Rua,111,Higienópolis
12v4msj,apartment,apartment,106,2,2,2,9,1300,469.86,1560000,"['pool', 'party_room', 'green_area']",set_up,-23.55185140,-46.69052320,São Paulo,765,05435-000,Harmonia,Rua,91,Vila Madalena
12vxq2d,apartment,apartment,110,3,1,2,14,1328,338.42,745000,"['gym', 'kids', 'gourmet', 'pool', 'playground', 'sports_court', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.50417860,-46.60118020,São Paulo,522,02075-041,Manuel de Almeida,Rua,141,Vila Guilherme
12wvee2,apartment,apartment,116,4,3,3,11,1129,484.88,1060000,"['gym', 'kids', 'pool']",ready_to_move,-23.53108240,-46.72755120,São Paulo,1288,05303-000,Carlos Weber,Rua,113,Vila Leopoldina
